,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,1673302660926,2023-01-09 22:17:40,17181.6,23.371,17181.5,0.746,17181.4,5.428,17181.2,0.89,17181.1,3.787,17181.0,0.908,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,7.474,17181.8,3.442,17181.9,1.946,17182.0,0.601,17182.1,1.877,17182.2,5.168,17182.3,0.02,17182.4,6.692,17182.5,1.904,17182.6,2.546
1,1673302661177,2023-01-09 22:17:41,17181.6,24.232,17181.5,0.694,17181.4,5.428,17181.2,0.89,17181.1,3.787,17181.0,0.908,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,7.088,17181.8,2.554,17181.9,1.986,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.02,17182.4,6.001,17182.5,1.869,17182.6,2.105
2,1673302661427,2023-01-09 22:17:41,17181.6,24.403,17181.5,0.694,17181.4,5.428,17181.2,0.89,17181.1,3.787,17181.0,0.908,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,7.089,17181.8,2.674,17181.9,1.946,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.02,17182.4,6.012,17182.5,1.869,17182.6,2.713
3,1673302661678,2023-01-09 22:17:41,17181.6,24.874,17181.5,0.694,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.908,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,6.54,17181.8,2.68,17181.9,1.946,17182.0,1.598,17182.1,0.871,17182.2,6.043,17182.3,0.02,17182.4,6.001,17182.5,2.57,17182.6,2.613
4,1673302661928,2023-01-09 22:17:41,17181.6,24.403,17181.5,0.694,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,6.069,17181.8,2.48,17181.9,1.946,17182.0,1.668,17182.1,0.871,17182.2,6.043,17182.3,0.02,17182.4,6.001,17182.5,2.589,17182.6,2.591
5,1673302662178,2023-01-09 22:17:42,17181.6,24.403,17181.5,0.686,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.628,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,7.272,17181.8,2.48,17181.9,3.946,17182.0,1.537,17182.1,0.871,17182.2,6.043,17182.3,0.02,17182.4,6.001,17182.5,3.785,17182.6,1.404
6,1673302662428,2023-01-09 22:17:42,17181.6,24.376,17181.5,0.686,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.616,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,6.364,17181.8,2.54,17181.9,3.946,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.094,17182.4,6.015,17182.5,2.601,17182.6,1.418
7,1673302662679,2023-01-09 22:17:42,17181.6,24.376,17181.5,0.686,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.616,17180.8,0.007,17180.7,0.876,17180.6,2.854,17181.7,5.57,17181.8,2.48,17181.9,0.667,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.094,17182.4,6.001,17182.5,2.565,17182.6,1.438
8,1673302662930,2023-01-09 22:17:42,17181.6,24.376,17181.5,0.686,17181.4,5.428,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.616,17180.8,0.006,17180.7,0.876,17180.6,2.854,17181.7,5.57,17181.8,2.48,17181.9,0.667,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.094,17182.4,6.001,17182.5,2.56,17182.6,1.447
9,1673302663181,2023-01-09 22:17:43,17181.6,24.376,17181.5,0.689,17181.4,5.429,17181.2,0.89,17181.1,3.776,17181.0,0.942,17180.9,1.616,17180.8,0.006,17180.7,0.876,17180.6,2.854,17181.7,5.548,17181.8,2.48,17181.9,0.667,17182.0,0.601,17182.1,0.871,17182.2,6.043,17182.3,0.094,17182.4,6.001,17182.5,2.572,17182.6,1.442
