,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
532963,1673436218075,2023-01-11 11:23:38,17425.1,2.244,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.179,17424.2,1.005,17424.1,1.479,17425.2,120.023,17425.3,29.61,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,11.84,17425.9,5.111,17426.0,0.156,17426.1,6.5
532964,1673436218325,2023-01-11 11:23:38,17425.1,2.244,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.217,17424.2,1.005,17424.1,1.479,17425.2,120.08,17425.3,29.61,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,11.84,17425.9,5.111,17426.0,0.156,17426.1,6.5
532965,1673436218575,2023-01-11 11:23:38,17425.1,2.244,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.217,17424.2,1.694,17424.1,1.007,17425.2,120.133,17425.3,29.758,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,7.901,17425.9,5.111,17426.0,0.006,17426.1,6.5
532966,1673436218825,2023-01-11 11:23:38,17425.1,2.244,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.178,17424.2,1.005,17424.1,1.007,17425.2,120.003,17425.3,29.758,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,7.901,17425.9,5.111,17426.0,0.006,17426.1,6.5
532967,1673436219075,2023-01-11 11:23:39,17425.1,2.19,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.191,17424.2,1.005,17424.1,1.007,17425.2,119.803,17425.3,29.758,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,7.901,17425.9,5.111,17426.0,0.006,17426.1,6.5
532968,1673436219326,2023-01-11 11:23:39,17425.1,2.19,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.196,17424.2,1.005,17424.1,1.007,17425.2,117.815,17425.3,27.458,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,7.901,17425.9,5.111,17426.0,0.006,17426.1,6.5
532969,1673436219577,2023-01-11 11:23:39,17425.1,2.19,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.187,17424.2,1.005,17424.1,1.007,17425.2,117.816,17425.3,27.458,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,3.918,17425.9,5.111,17426.0,4.088,17426.1,6.5
532970,1673436219827,2023-01-11 11:23:39,17425.1,2.184,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.171,17424.2,1.005,17424.1,1.007,17425.2,117.816,17425.3,27.458,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,3.918,17425.9,5.111,17426.0,4.088,17426.1,6.5
532971,1673436220078,2023-01-11 11:23:40,17425.1,2.184,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.171,17424.2,1.005,17424.1,1.007,17425.2,117.896,17425.3,27.458,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,3.918,17425.9,5.111,17426.0,4.088,17426.1,6.5
532972,1673436220328,2023-01-11 11:23:40,17425.1,2.185,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.576,17424.4,1.731,17424.3,0.171,17424.2,1.005,17424.1,1.007,17425.2,117.886,17425.3,27.458,17425.4,1.709,17425.5,3.793,17425.6,2.411,17425.7,5.947,17425.8,3.918,17425.9,5.111,17426.0,4.088,17426.1,6.5
532973,1673436220578,2023-01-11 11:23:40,17425.1,7.63,17425.0,2.327,17424.8,0.492,17424.7,0.006,17424.6,0.022,17424.5,0.575,17424.4,1.731,17424.3,0.232,17424.2,1.005,17424.1,1.007,17425.2,97.717,17425.3,20.851,17425.4,1.709,17425.5,3.31,17425.6,2.591,17425.7,2.712,17425.8,7.748,17425.9,5.111,17426.0,4.088,17426.1,6.5
532974,1673436220829,2023-01-11 11:23:40,17425.1,7.63,17425.0,2.327,17424.8,0.492,17424.7,0.006,17424.6,0.022,17424.5,0.575,17424.4,1.731,17424.3,0.21,17424.2,1.005,17424.1,1.007,17425.2,98.422,17425.3,20.851,17425.4,1.709,17425.5,3.31,17425.6,2.411,17425.7,2.732,17425.8,7.948,17425.9,5.111,17426.0,4.088,17426.1,6.5
532975,1673436221079,2023-01-11 11:23:41,17425.1,7.63,17425.0,2.327,17424.8,0.02,17424.7,0.006,17424.6,0.022,17424.5,0.575,17424.4,1.731,17424.3,0.21,17424.2,1.005,17424.1,1.007,17425.2,66.19,17425.3,20.859,17425.4,1.15,17425.5,6.583,17425.6,2.411,17425.7,2.732,17425.8,7.948,17425.9,6.738,17426.0,4.088,17426.1,6.5
