,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2664815,1673970863254,2023-01-17 15:54:23,21131.7,28.68,21131.6,0.104,21131.4,3.114,21131.3,0.543,21131.2,3.4,21131.1,0.237,21131.0,1.081,21130.6,0.001,21130.5,4.941,21130.4,1.229,21131.8,0.046,21132.1,0.01,21132.3,0.001,21132.8,0.026,21132.9,0.003,21133.0,0.001,21133.7,16.984,21133.8,0.001,21133.9,0.008,21134.0,0.059
2664816,1673970863505,2023-01-17 15:54:23,21131.7,4.695,21131.6,0.105,21131.4,0.08,21131.3,0.543,21131.0,0.021,21130.6,0.276,21130.5,3.913,21130.4,3.306,21130.3,2.74,21130.2,0.354,21131.8,3.435,21132.0,0.832,21132.1,0.01,21132.3,0.001,21132.8,0.026,21132.9,0.429,21133.0,1.701,21133.6,0.621,21133.7,16.984,21133.8,0.001
2664817,1673970863755,2023-01-17 15:54:23,21131.7,4.441,21131.6,0.105,21131.0,0.021,21130.9,0.1,21130.6,1.271,21130.5,0.504,21130.4,0.419,21130.3,0.331,21130.1,2.257,21130.0,0.013,21131.8,5.249,21132.0,0.832,21132.1,0.01,21132.3,0.919,21132.8,0.026,21132.9,0.429,21133.0,1.701,21133.5,1.936,21133.6,1.315,21133.7,16.984
2664818,1673970864005,2023-01-17 15:54:24,21130.8,0.032,21130.6,0.128,21130.5,0.16,21130.4,0.019,21130.3,0.33,21130.0,0.013,21129.9,0.014,21129.8,1.06,21129.7,0.289,21129.6,0.865,21130.9,9.007,21131.0,9.116,21131.1,6.493,21131.2,0.411,21131.3,0.1,21131.4,14.015,21131.5,1.972,21131.6,0.661,21131.7,19.826,21131.8,6.516
2664819,1673970864255,2023-01-17 15:54:24,21129.4,0.71,21129.3,0.415,21129.2,0.08,21129.1,0.001,21129.0,0.001,21128.9,0.269,21128.7,0.89,21128.6,0.05,21128.5,1.518,21128.4,3.496,21129.5,16.251,21129.6,11.883,21129.7,11.565,21129.8,4.154,21129.9,8.333,21130.0,9.426,21130.1,6.744,21130.2,7.787,21130.3,3.859,21130.4,14.451
2664820,1673970864505,2023-01-17 15:54:24,21129.4,4.813,21129.3,0.095,21129.1,0.001,21129.0,0.081,21128.9,0.008,21128.7,0.902,21128.6,0.05,21128.5,0.186,21128.4,1.78,21128.3,1.555,21129.5,17.058,21129.6,0.001,21129.8,0.85,21130.3,0.118,21130.4,2.983,21130.5,0.107,21130.6,0.057,21130.7,0.167,21130.8,0.642,21130.9,0.653
2664821,1673970864755,2023-01-17 15:54:24,21129.4,2.281,21129.3,0.095,21129.1,0.001,21129.0,0.001,21128.9,0.008,21128.7,0.902,21128.6,0.05,21128.5,0.186,21128.4,1.78,21128.3,0.071,21129.5,18.306,21129.8,0.85,21130.3,0.118,21130.4,4.28,21130.5,0.107,21130.6,0.057,21130.7,0.167,21130.8,0.4,21130.9,0.401,21131.0,0.047
2664822,1673970865005,2023-01-17 15:54:25,21129.4,4.902,21129.3,0.095,21129.1,0.001,21129.0,0.001,21128.9,0.008,21128.7,0.914,21128.6,0.05,21128.5,0.186,21128.4,1.78,21128.3,1.538,21129.5,13.79,21129.8,0.85,21130.3,0.105,21130.4,4.28,21130.5,0.108,21130.6,0.057,21130.7,0.167,21130.8,0.4,21130.9,0.401,21131.0,0.047
2664823,1673970865256,2023-01-17 15:54:25,21129.4,3.037,21129.3,0.095,21129.1,0.001,21129.0,0.001,21128.9,0.008,21128.7,0.934,21128.6,0.09,21128.5,0.225,21128.4,3.247,21128.3,0.071,21129.5,10.308,21130.3,0.105,21130.4,4.007,21130.5,0.108,21130.6,0.057,21130.7,0.167,21130.8,2.1,21130.9,0.401,21131.0,0.283,21131.3,0.031
2664824,1673970865506,2023-01-17 15:54:25,21129.4,6.441,21129.3,0.096,21129.0,0.001,21128.9,0.009,21128.7,0.915,21128.6,0.05,21128.5,0.065,21128.4,1.78,21128.3,0.071,21128.2,0.787,21129.5,0.952,21129.6,0.823,21130.3,0.105,21130.4,2.507,21130.5,0.107,21130.6,0.057,21130.7,0.287,21130.8,0.43,21130.9,0.637,21131.0,0.047
