,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1598889,1673703566197,2023-01-14 13:39:26,20906.8,1.981,20906.7,2.514,20906.6,0.001,20906.5,0.001,20906.4,0.005,20906.3,0.014,20906.2,0.008,20905.7,0.005,20905.6,0.478,20905.4,0.338,20906.9,8.364,20907.3,0.335,20907.4,3.95,20907.5,0.037,20907.9,0.359,20908.0,0.001,20908.3,0.001,20908.8,0.028,20908.9,1.7,20909.0,0.001
1598890,1673703566450,2023-01-14 13:39:26,20906.9,15.898,20906.8,2.472,20906.7,2.514,20906.6,0.001,20906.5,0.001,20906.4,0.005,20906.3,0.014,20906.2,0.008,20905.8,0.027,20905.7,0.005,20907.0,1.777,20907.4,2.022,20908.2,0.478,20908.3,0.001,20908.8,0.001,20909.1,0.335,20909.2,0.285,20909.3,0.001,20909.6,0.242,20909.8,0.001
1598891,1673703566701,2023-01-14 13:39:26,20910.1,5.115,20909.9,0.1,20909.7,0.498,20909.6,0.1,20909.5,0.266,20909.2,0.195,20909.1,0.207,20909.0,0.1,20908.7,0.215,20908.4,0.1,20910.2,2.884,20910.3,1.1,20910.4,2.338,20910.8,0.01,20911.0,0.285,20911.1,0.001,20911.3,0.001,20911.4,0.001,20911.5,0.008,20911.7,0.001
1598892,1673703566951,2023-01-14 13:39:26,20910.1,2.291,20909.8,0.132,20909.7,0.498,20908.8,0.57,20908.4,0.255,20908.3,1.731,20908.2,0.063,20908.0,0.002,20907.7,0.003,20907.6,0.657,20910.2,3.526,20910.3,1.1,20910.4,2.338,20910.8,0.01,20911.0,0.261,20911.1,0.001,20911.3,0.001,20911.4,0.001,20911.5,0.035,20911.6,0.283
1598893,1673703567201,2023-01-14 13:39:27,20910.1,2.286,20909.8,0.132,20909.7,0.498,20909.1,0.478,20908.3,1.731,20908.2,0.063,20908.0,0.002,20907.7,1.002,20907.6,0.442,20907.5,1.7,20910.2,3.491,20910.3,0.512,20910.4,2.338,20910.8,0.01,20911.0,0.261,20911.1,0.001,20911.3,0.001,20911.4,0.001,20911.5,0.035,20911.6,0.283
1598894,1673703567452,2023-01-14 13:39:27,20910.1,0.786,20910.0,0.051,20909.8,0.132,20909.7,0.498,20909.2,0.478,20908.4,1.003,20908.3,1.731,20908.2,0.063,20908.0,0.002,20907.8,1.7,20910.2,3.797,20910.3,0.512,20910.8,0.01,20910.9,0.478,20911.1,0.262,20911.3,0.001,20911.4,0.001,20911.5,0.008,20911.6,0.283,20911.7,0.001
1598895,1673703567702,2023-01-14 13:39:27,20910.1,2.257,20910.0,0.051,20909.8,0.132,20909.7,0.498,20908.4,0.57,20908.3,1.731,20908.2,0.063,20908.0,0.002,20907.8,1.7,20907.7,1.214,20910.2,1.35,20910.3,0.512,20910.8,0.01,20910.9,0.478,20911.3,0.001,20911.5,0.008,20911.8,0.222,20912.1,0.026,20912.3,0.307,20912.4,0.001
1598896,1673703567952,2023-01-14 13:39:27,20912.6,7.61,20912.5,2.481,20912.3,4.064,20912.2,4.02,20912.1,2.108,20912.0,1.098,20911.8,0.885,20911.7,0.028,20910.9,2.089,20910.8,0.212,20912.7,0.027,20912.8,0.002,20912.9,0.227,20913.0,0.008,20913.1,0.007,20913.2,2.022,20913.3,0.001,20913.4,0.478,20913.8,0.001,20913.9,0.262
1598897,1673703568202,2023-01-14 13:39:28,20912.6,7.229,20912.3,0.154,20912.2,1.45,20912.1,0.308,20912.0,0.011,20911.7,0.03,20911.2,0.002,20911.1,0.142,20911.0,0.57,20910.9,1.701,20912.7,0.398,20912.8,0.002,20913.0,0.008,20913.1,0.007,20913.2,2.022,20913.3,0.001,20913.8,0.001,20913.9,0.048,20914.0,0.277,20914.1,3.975
1598898,1673703568453,2023-01-14 13:39:28,20912.6,10.331,20912.5,0.046,20912.3,0.154,20912.2,1.45,20912.1,0.308,20911.7,0.03,20911.2,0.002,20911.1,0.142,20911.0,0.942,20910.9,1.701,20912.7,0.083,20912.8,0.002,20913.0,0.008,20913.1,0.007,20913.2,2.022,20913.3,0.001,20913.8,0.001,20913.9,0.048,20914.0,0.043,20914.1,6.631
1598899,1673703568703,2023-01-14 13:39:28,20913.1,13.398,20912.7,0.278,20912.6,0.282,20912.5,0.046,20912.3,0.154,20911.7,0.003,20911.3,0.571,20911.2,0.002,20911.1,0.142,20911.0,0.372,20913.2,2.196,20913.3,0.001,20913.6,2.656,20913.8,0.001,20913.9,0.048,20914.0,0.043,20914.1,6.631,20914.3,0.479,20914.8,0.008,20915.0,0.973
1598900,1673703568953,2023-01-14 13:39:28,20913.1,3.656,20913.0,0.046,20912.6,0.001,20911.7,0.572,20911.2,0.002,20911.0,0.372,20910.9,1.3,20910.8,0.058,20910.7,0.002,20910.5,0.027,20913.2,5.437,20913.3,0.068,20913.6,2.656,20913.8,0.001,20913.9,0.048,20914.0,0.43,20914.1,3.975,20914.3,0.479,20914.8,0.008,20915.0,0.973
