,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1065926,1673569945917,2023-01-13 00:32:25,18806.0,3.495,18805.9,0.025,18805.8,0.281,18805.7,0.002,18805.6,0.001,18805.4,0.005,18805.3,3.131,18805.1,0.305,18805.0,5.181,18804.9,1.736,18806.1,56.853,18806.2,18.239,18806.3,2.933,18806.4,9.582,18806.5,1.523,18806.6,0.037,18806.7,0.025,18806.8,0.798,18806.9,2.78,18807.0,5.144
1065927,1673569946167,2023-01-13 00:32:26,18804.8,7.583,18804.6,1.238,18804.4,0.009,18804.2,0.922,18804.1,1.41,18804.0,0.335,18803.9,0.007,18803.8,0.583,18803.7,0.421,18803.6,0.129,18804.9,28.998,18805.0,8.815,18805.1,1.333,18805.2,0.695,18805.3,0.353,18805.4,0.7,18805.5,0.012,18805.7,0.334,18805.9,0.388,18806.0,4.033
1065928,1673569946417,2023-01-13 00:32:26,18804.8,14.626,18804.6,1.238,18804.4,0.049,18804.3,0.08,18804.1,4.034,18804.0,0.355,18803.9,0.27,18803.8,0.584,18803.7,5.622,18803.6,0.64,18804.9,13.065,18805.0,0.847,18805.2,0.108,18805.5,0.013,18805.9,0.054,18806.0,1.99,18806.1,1.867,18806.2,0.414,18806.3,2.901,18806.4,1.381
1065929,1673569946667,2023-01-13 00:32:26,18804.8,12.791,18804.6,1.238,18804.4,0.029,18804.3,0.026,18804.1,4.034,18804.0,0.355,18803.9,0.007,18803.8,0.744,18803.7,5.622,18803.6,0.64,18804.9,13.969,18805.0,2.243,18805.3,1.948,18805.5,0.013,18805.7,2.721,18805.9,0.054,18806.0,2.244,18806.1,1.817,18806.2,0.414,18806.3,2.901
1065930,1673569946917,2023-01-13 00:32:26,18804.8,13.291,18804.6,1.238,18804.4,0.059,18804.3,0.026,18804.1,4.034,18804.0,0.355,18803.9,0.147,18803.8,0.744,18803.7,0.422,18803.6,0.64,18804.9,13.265,18805.0,3.63,18805.3,0.561,18805.5,0.026,18805.7,2.721,18805.9,0.054,18806.0,2.231,18806.1,1.817,18806.2,0.414,18806.3,2.901
1065931,1673569947168,2023-01-13 00:32:27,18804.8,14.155,18804.6,1.239,18804.4,0.06,18804.3,0.027,18804.2,0.001,18804.1,1.441,18804.0,0.395,18803.9,0.148,18803.8,1.301,18803.7,4.0,18804.9,12.359,18805.0,2.422,18805.5,0.026,18805.7,2.721,18805.9,0.054,18806.0,2.231,18806.1,1.742,18806.2,0.414,18806.3,2.901,18806.4,1.406
1065932,1673569947419,2023-01-13 00:32:27,18804.8,13.893,18804.7,0.038,18804.6,1.239,18804.4,0.06,18804.3,0.027,18804.1,1.441,18804.0,0.356,18803.9,1.589,18803.8,5.982,18803.7,0.006,18804.9,12.395,18805.0,2.422,18805.5,0.026,18805.7,2.721,18805.9,0.054,18806.0,2.231,18806.1,1.742,18806.2,0.414,18806.3,2.901,18806.4,1.406
1065933,1673569947669,2023-01-13 00:32:27,18804.8,13.78,18804.7,0.038,18804.6,1.239,18804.4,0.06,18804.3,1.821,18804.2,5.201,18804.1,1.441,18804.0,0.356,18803.9,0.148,18803.8,0.782,18804.9,12.866,18805.0,2.422,18805.5,1.413,18805.7,2.721,18805.9,0.054,18806.0,2.231,18806.1,1.742,18806.2,0.414,18806.3,2.901,18806.4,1.406
1065934,1673569947920,2023-01-13 00:32:27,18804.8,24.636,18804.7,0.198,18804.6,1.239,18804.4,0.06,18804.3,7.065,18804.2,5.201,18804.1,1.441,18804.0,4.69,18803.9,0.008,18803.8,0.675,18804.9,3.192,18805.0,1.026,18805.5,0.034,18806.0,3.111,18806.1,1.742,18806.2,0.414,18806.3,2.901,18806.4,1.722,18806.7,0.109,18806.9,1.139
1065935,1673569948170,2023-01-13 00:32:28,18805.9,43.52,18805.8,2.311,18805.7,3.017,18805.6,2.255,18805.5,18.025,18805.4,61.507,18805.3,0.459,18805.2,2.48,18805.0,7.293,18804.9,29.236,18806.0,1.156,18806.1,1.74,18806.2,0.013,18806.4,0.371,18806.7,0.108,18807.0,0.478,18807.1,0.001,18807.3,0.436,18807.4,0.002,18807.5,0.001
