,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2131852,1673837185335,2023-01-16 02:46:25,21237.3,2.533,21237.2,0.18,21237.1,0.18,21236.9,0.18,21236.8,0.181,21236.6,0.012,21236.5,0.008,21236.3,0.001,21236.0,0.282,21235.8,0.248,21237.4,2.367,21237.7,0.255,21237.8,0.404,21237.9,0.002,21238.1,0.753,21238.4,0.002,21238.7,0.01,21239.0,0.046,21239.1,0.013,21239.3,0.789
2131853,1673837185585,2023-01-16 02:46:25,21234.0,5.142,21233.9,0.011,21233.8,0.001,21233.6,0.02,21233.3,0.014,21233.2,0.021,21233.0,7.961,21232.9,0.001,21232.8,0.016,21232.7,2.825,21234.1,2.261,21234.2,0.003,21234.8,0.039,21235.7,0.02,21235.8,0.026,21236.3,11.16,21236.4,1.65,21236.5,1.518,21236.6,1.896,21236.7,0.101
2131854,1673837185835,2023-01-16 02:46:25,21233.0,9.918,21232.9,0.001,21232.8,0.016,21232.7,0.001,21232.6,0.275,21232.5,0.001,21232.4,0.002,21232.3,0.061,21232.2,0.224,21232.0,0.647,21233.1,12.195,21233.2,0.006,21233.3,0.005,21233.5,0.026,21233.8,0.495,21233.9,0.555,21234.4,0.002,21234.7,0.02,21234.8,0.039,21234.9,0.002
2131855,1673837186085,2023-01-16 02:46:26,21233.0,7.456,21232.9,0.001,21232.8,0.016,21232.7,0.001,21232.6,0.04,21232.5,0.001,21232.4,0.002,21232.3,0.061,21232.2,0.224,21232.0,0.647,21233.1,14.689,21233.2,0.005,21233.3,0.005,21233.5,0.026,21233.8,0.403,21233.9,0.555,21234.4,0.002,21234.6,0.234,21234.7,0.02,21234.8,0.039
2131856,1673837186335,2023-01-16 02:46:26,21233.0,7.085,21232.9,0.001,21232.8,0.001,21232.7,0.001,21232.6,0.02,21232.5,0.001,21232.4,0.002,21232.3,0.001,21232.0,0.647,21231.9,0.265,21233.1,15.503,21233.2,0.24,21233.3,0.005,21233.5,0.026,21233.8,0.416,21233.9,0.555,21234.3,0.796,21234.4,0.082,21234.6,0.234,21234.7,0.02
2131857,1673837186585,2023-01-16 02:46:26,21233.0,7.107,21232.9,0.001,21232.8,0.001,21232.7,0.001,21232.6,0.02,21232.5,0.001,21232.4,0.002,21232.3,0.001,21232.0,0.647,21231.9,0.265,21233.1,19.478,21233.2,0.24,21233.3,0.005,21233.5,0.026,21233.8,0.299,21233.9,0.555,21234.2,0.223,21234.3,0.796,21234.4,0.042,21234.6,0.234
2131858,1673837186835,2023-01-16 02:46:26,21233.0,7.205,21232.8,0.001,21232.6,0.021,21232.4,0.002,21232.3,0.001,21232.0,0.648,21231.9,0.265,21231.8,0.023,21231.6,0.014,21231.4,0.905,21233.1,20.146,21233.2,0.006,21233.3,0.006,21233.5,0.027,21233.8,0.3,21233.9,0.556,21234.2,0.224,21234.3,0.797,21234.4,0.003,21234.6,1.147
2131859,1673837187086,2023-01-16 02:46:27,21230.7,0.004,21230.6,0.001,21230.3,0.001,21230.2,0.001,21230.0,1.308,21229.9,0.003,21229.8,0.002,21229.7,0.013,21229.6,0.106,21229.5,0.001,21230.8,18.175,21230.9,0.58,21231.0,2.86,21231.1,0.235,21231.2,1.476,21231.3,2.439,21231.4,0.003,21231.9,0.065,21232.0,0.093,21232.1,0.021
2131860,1673837187337,2023-01-16 02:46:27,21230.7,3.188,21230.6,0.141,21230.3,0.001,21230.2,0.001,21230.0,1.308,21229.9,0.003,21229.8,0.002,21229.7,0.013,21229.6,0.106,21229.5,0.001,21230.8,10.57,21230.9,6.275,21231.0,1.84,21231.3,1.222,21231.4,0.002,21231.9,0.065,21232.0,0.075,21232.4,0.002,21232.5,0.025,21232.6,2.382
2131861,1673837187588,2023-01-16 02:46:27,21230.7,3.174,21230.6,0.141,21230.3,0.001,21230.2,0.001,21230.0,1.308,21229.9,0.183,21229.8,0.002,21229.7,0.013,21229.6,0.016,21229.5,0.001,21230.8,10.467,21230.9,6.275,21231.0,0.235,21231.3,1.2,21231.4,0.002,21231.9,0.065,21232.0,0.075,21232.4,0.002,21232.5,0.025,21232.6,2.382
